doc,sent,word,not interventions,interventions
10091821,1,1,0.5393753,0.46062472
10091821,1,2,0.6527221,0.34727788
10091821,1,3,0.56886643,0.43113357
10091821,1,4,0.37803525,0.62196475
10091821,1,5,0.7133554,0.28664458
10091821,1,6,0.3901819,0.6098181
10091821,1,7,0.44596344,0.55403656
10091821,1,8,0.17493123,0.8250688
10091821,1,9,0.3646351,0.6353649
10091821,1,10,0.9136761,0.08632393
10091821,1,11,0.9316881,0.06831192
10091821,1,12,0.4191503,0.5808497
10091821,1,13,0.8329614,0.16703863
10091821,1,14,0.9669216,0.033078358
10091821,1,15,0.97194815,0.028051825
10091821,1,16,0.9461753,0.0538247
10091821,1,17,0.49574965,0.50425035
10091821,1,18,0.6210536,0.37894642
10091821,1,19,0.98456687,0.015433135
10091821,1,20,0.5773114,0.42268857
10091821,2,1,0.9722447,0.027755346
10091821,2,2,0.9330956,0.06690443
10091821,2,3,0.9327113,0.06728868
10091821,2,4,0.96838695,0.031613044
10091821,2,5,0.96919173,0.030808289
10091821,2,6,0.9095994,0.09040059
10091821,2,7,0.9538562,0.046143766
10091821,2,8,0.9031997,0.09680034
10091821,2,9,0.9497631,0.05023686
10091821,2,10,0.87297165,0.12702835
10091821,2,11,0.98214746,0.01785255
10091821,2,12,0.7947563,0.20524374
10091821,2,13,0.6508182,0.34918177
10091821,2,14,0.39872533,0.60127467
10091821,2,15,0.34422117,0.6557788
10091821,2,16,0.851995,0.14800504
10091821,2,17,0.95554304,0.044456944
10091821,2,18,0.4464175,0.5535825
10091821,2,19,0.68889856,0.31110147
10091821,2,20,0.87015843,0.12984154
10091821,2,21,0.8921918,0.10780815
10091821,2,22,0.9759633,0.024036683
10091821,2,23,0.97745615,0.022543864
10091821,2,24,0.9284712,0.07152881
10091821,2,25,0.4898339,0.5101661
10091821,2,26,0.65257394,0.34742603
10091821,2,27,0.9901662,0.009833797
10091821,2,28,0.4874813,0.5125187
10091821,3,1,0.94068754,0.05931249
10091821,3,2,0.65551245,0.34448758
10091821,3,3,0.066707134,0.93329287
10091821,3,4,0.40701085,0.59298915
10091821,3,5,0.47381562,0.5261844
10091821,3,6,0.77918744,0.22081253
10091821,3,7,0.34071815,0.65928185
10091821,3,8,0.6034361,0.3965639
10091821,3,9,0.3456415,0.6543585
10091821,3,10,0.45327526,0.54672474
10091821,3,11,0.14082593,0.8591741
10091821,3,12,0.7638595,0.23614047
10091821,3,13,0.78480995,0.21519002
10091821,3,14,0.9308275,0.06917249
10091821,3,15,0.80507725,0.19492276
10091821,3,16,0.8670857,0.1329143
10091821,3,17,0.90887076,0.09112924
10091821,3,18,0.9512333,0.048766676
10091821,3,19,0.97794974,0.022050247
10091821,3,20,0.9287161,0.07128388
10091821,3,21,0.40636706,0.59363294
10091821,3,22,0.60563815,0.39436188
10091821,3,23,0.9866357,0.013364331
10091821,3,24,0.5421976,0.45780244
10091821,4,1,0.85991704,0.14008297
10091821,4,2,0.14653099,0.853469
10091821,4,3,0.58825547,0.41174453
10091821,4,4,0.9417442,0.05825578
10091821,4,5,0.6415735,0.3584265
10091821,4,6,0.54015136,0.45984867
10091821,4,7,0.8943366,0.10566339
10091821,4,8,0.949938,0.05006202
10091821,4,9,0.7993164,0.20068358
10091821,4,10,0.6938313,0.30616868
10091821,4,11,0.9327557,0.067244284
10091821,4,12,0.6991439,0.30085608
10091821,4,13,0.80909055,0.19090946
10091821,4,14,0.57267654,0.42732346
10091821,4,15,0.61995083,0.38004917
10091821,4,16,0.63472015,0.36527985
10091821,4,17,0.65094465,0.34905535
10091821,4,18,0.623901,0.376099
10091821,4,19,0.7678375,0.23216248
10091821,4,20,0.8025524,0.19744758
10091821,4,21,0.81556046,0.18443957
10091821,4,22,0.6510185,0.34898153
10091821,4,23,0.07919532,0.9208047
10091821,4,24,0.72749656,0.27250344
10091821,4,25,0.44508713,0.55491287
10091821,4,26,0.7950064,0.20499362
10091821,4,27,0.7250992,0.27490082
10091821,4,28,0.6323025,0.3676975
10091821,4,29,0.572253,0.427747
10091821,4,30,0.65545326,0.34454674
10091821,4,31,0.9427099,0.057290092
10091821,4,32,0.91008323,0.08991676
10091821,4,33,0.9422813,0.057718683
10091821,4,34,0.6690563,0.33094373
10091821,4,35,0.5881077,0.41189227
10091821,4,36,0.6478937,0.35210627
10091821,4,37,0.4423021,0.5576979
10091821,4,38,0.52776134,0.47223863
10091821,4,39,0.25229597,0.747704
10091821,4,40,0.60083234,0.3991677
10091821,4,41,0.7504067,0.24959332
10091821,4,42,0.6190526,0.3809474
10091821,4,43,0.28692693,0.7130731
10091821,5,1,0.84632957,0.1536704
