doc,sent,word,not outcomes,outcomes
10091821,1,1,0.7937017,0.20629828
10091821,1,2,0.82162714,0.17837289
10091821,1,3,0.8378957,0.1621043
10091821,1,4,0.95179826,0.048201714
10091821,1,5,0.9098874,0.09011263
10091821,1,6,0.9520143,0.047985643
10091821,1,7,0.87100506,0.12899493
10091821,1,8,0.5439426,0.45605746
10091821,1,9,0.21936768,0.7806323
10091821,1,10,0.67783654,0.3221635
10091821,1,11,0.37233043,0.6276696
10091821,1,12,0.14205235,0.85794765
10091821,1,13,0.14678514,0.85321486
10091821,1,14,0.9429249,0.057075102
10091821,1,15,0.97016925,0.029830746
10091821,1,16,0.9759887,0.024011334
10091821,1,17,0.6070416,0.39295837
10091821,1,18,0.4601286,0.5398714
10091821,1,19,0.5716188,0.42838117
10091821,1,20,0.6357346,0.36426538
10091821,2,1,0.9698024,0.030197648
10091821,2,2,0.9496687,0.05033127
10091821,2,3,0.9775141,0.022485895
10091821,2,4,0.9883585,0.011641528
10091821,2,5,0.9968458,0.0031542028
10091821,2,6,0.9869475,0.013052504
10091821,2,7,0.9896331,0.010366924
10091821,2,8,0.97189337,0.028106632
10091821,2,9,0.920642,0.07935798
10091821,2,10,0.92510325,0.07489677
10091821,2,11,0.8172171,0.18278289
10091821,2,12,0.56954753,0.43045247
10091821,2,13,0.9244817,0.07551832
10091821,2,14,0.49725854,0.50274146
10091821,2,15,0.17305154,0.82694846
10091821,2,16,0.7143327,0.2856673
10091821,2,17,0.56493753,0.43506247
10091821,2,18,0.20845783,0.7915422
10091821,2,19,0.16388589,0.8361141
10091821,2,20,0.8691067,0.1308933
10091821,2,21,0.47963327,0.5203667
10091821,2,22,0.958365,0.041634995
10091821,2,23,0.9804825,0.01951747
10091821,2,24,0.97563493,0.024365066
10091821,2,25,0.52348125,0.47651878
10091821,2,26,0.5297406,0.47025943
10091821,2,27,0.63661444,0.36338553
10091821,2,28,0.71594334,0.28405663
10091821,3,1,0.9542167,0.04578331
10091821,3,2,0.8454881,0.15451191
10091821,3,3,0.7031911,0.2968089
10091821,3,4,0.55978364,0.44021636
10091821,3,5,0.43029326,0.56970674
10091821,3,6,0.75419295,0.24580705
10091821,3,7,0.25585836,0.74414164
10091821,3,8,0.09300679,0.9069932
10091821,3,9,0.38031775,0.61968225
10091821,3,10,0.20402813,0.7959719
10091821,3,11,0.5896201,0.4103799
10091821,3,12,0.89950097,0.10049903
10091821,3,13,0.8770868,0.122913174
10091821,3,14,0.7979386,0.2020614
10091821,3,15,0.9158565,0.0841435
10091821,3,16,0.31234354,0.68765646
10091821,3,17,0.5524905,0.44750956
10091821,3,18,0.89976007,0.10023994
10091821,3,19,0.9487001,0.051299945
10091821,3,20,0.95891386,0.04108613
10091821,3,21,0.62068295,0.37931708
10091821,3,22,0.40413278,0.5958672
