doc,sent,word,not participants,participants
10091821,1,1,0.7718968,0.22810324
10091821,1,2,0.7377955,0.26220453
10091821,1,3,0.84214497,0.15785505
10091821,1,4,0.7541639,0.2458361
10091821,1,5,0.68682384,0.31317618
10091821,1,6,0.5708289,0.42917112
10091821,1,7,0.76436794,0.23563209
10091821,1,8,0.4209954,0.5790046
10091821,1,9,0.5355365,0.46446347
10091821,1,10,0.46821612,0.5317839
10091821,1,11,0.15380925,0.84619075
10091821,1,12,0.44206637,0.5579336
10091821,1,13,0.41826105,0.58173895
10091821,1,14,0.65965354,0.3403465
10091821,1,15,0.041800737,0.95819926
10091821,1,16,0.029643357,0.97035664
10091821,1,17,0.05056572,0.9494343
10091821,1,18,0.11433309,0.8856669
10091821,1,19,0.050595164,0.94940484
10091821,1,20,0.15079468,0.8492053
10091821,2,1,0.9215146,0.07848544
10091821,2,2,0.94831145,0.051688537
10091821,2,3,0.96365285,0.036347177
10091821,2,4,0.9028616,0.097138435
10091821,2,5,0.91256756,0.08743245
10091821,2,6,0.9336555,0.06634451
10091821,2,7,0.90344936,0.09655064
10091821,2,8,0.96695435,0.03304566
10091821,2,9,0.9539782,0.04602181
10091821,2,10,0.89155746,0.10844257
10091821,2,11,0.97518903,0.024810987
10091821,2,12,0.7115781,0.28842193
10091821,2,13,0.37086356,0.62913644
10091821,2,14,0.38352954,0.61647046
10091821,2,15,0.5880837,0.41191632
10091821,2,16,0.53699076,0.46300924
10091821,2,17,0.66682214,0.33317786
10091821,2,18,0.45362538,0.5463746
10091821,2,19,0.60452163,0.39547834
10091821,2,20,0.52213097,0.477869
10091821,2,21,0.7971518,0.20284823
10091821,2,22,0.66323435,0.33676568
10091821,2,23,0.045397997,0.954602
10091821,2,24,0.028403163,0.97159684
10091821,2,25,0.06539893,0.93460107
10091821,2,26,0.12016833,0.8798317
10091821,2,27,0.056922555,0.94307745
10091821,2,28,0.18295002,0.81705
10091821,3,1,0.95507866,0.04492132
10091821,3,2,0.58312094,0.41687906
10091821,3,3,0.5807655,0.41923448
10091821,3,4,0.6373477,0.36265233
10091821,3,5,0.8564408,0.14355925
10091821,3,6,0.9086122,0.091387786
10091821,3,7,0.46114832,0.5388517
10091821,3,8,0.8834542,0.116545826
10091821,3,9,0.367284,0.632716
10091821,3,10,0.52271754,0.47728246
10091821,3,11,0.7058239,0.29417613
10091821,3,12,0.86126626,0.13873373
10091821,3,13,0.56141174,0.4385883
10091821,3,14,0.8856096,0.1143904
10091821,3,15,0.50278366,0.4972163
10091821,3,16,0.51198107,0.48801893
10091821,3,17,0.74949944,0.25050053
10091821,3,18,0.6875522,0.31244782
10091821,3,19,0.075104594,0.9248954
10091821,3,20,0.03496158,0.9650384
10091821,3,21,0.16942418,0.8305758
10091821,3,22,0.13973254,0.86026746
10091821,3,23,0.05890411,0.9410959
10091821,3,24,0.2885536,0.7114464
10091821,4,1,0.8668742,0.13312577
10091821,4,2,0.79461265,0.20538735
10091821,4,3,0.6477166,0.35228342
10091821,4,4,0.33743942,0.6625606
10091821,4,5,0.41234982,0.5876502
10091821,4,6,0.7069246,0.29307538
10091821,4,7,0.33172345,0.66827655
10091821,4,8,0.4782942,0.5217058
10091821,4,9,0.76608634,0.23391363
