doc,idx,Word_EBM,Sent_pos,Word,Lemma,UPOS,XPOS,HEAD,DEPREL
23332872,0,Are,1,Are,be,VBP,_,0,ROOT
23332872,1,tyrosine,2,tyrosine,tyrosine,NN,_,4,compound
23332872,2,kinase,3,kinase,kinase,NN,_,4,compound
23332872,3,inhibitors,4,inhibitors,inhibitor,NNS,_,1,nsubj
23332872,4,still,5,still,still,RB,_,6,advmod
23332872,5,active,6,active,active,JJ,_,4,amod
23332872,6,in,7,in,in,IN,_,8,case
23332872,7,patients,8,patients,patient,NNS,_,6,nmod
23332872,8,with,9,with,with,IN,_,13,case
23332872,9,metastatic,10,metastatic,metastatic,JJ,_,13,amod
23332872,10,renal,11,renal,renal,JJ,_,13,amod
23332872,11,cell,12,cell,cell,NN,_,13,compound
23332872,12,carcinoma,13,carcinoma,carcinoma,NN,_,8,nmod
23332872,13,previously,14,previously,previously,RB,_,15,advmod
23332872,14,treated,15,treated,treat,VBN,_,13,acl
23332872,15,with,16,with,with,IN,_,20,case
23332872,16,a,17,a,a,DT,_,20,det
23332872,17,tyrosine,18,tyrosine,tyrosine,NN,_,20,compound
23332872,18,kinase,19,kinase,kinase,NN,_,20,compound
23332872,19,inhibitor,20,inhibitor,inhibitor,NN,_,15,nmod
23332872,20,and,21,and,and,CC,_,20,cc
23332872,21,everolimus,22,everolimus,everolimus,NN,_,20,conj
23332872,22,?,23,?,?,.,_,1,punct
23332872,23,Experience,1,Experience,experience,NN,_,0,ROOT
23332872,24,of,2,of,of,IN,_,4,case
23332872,25,36,3,36,36,CD,_,4,nummod
23332872,26,patients,4,patients,patient,NNS,_,1,nmod
23332872,27,treated,5,treated,treat,VBN,_,4,acl
23332872,28,in,6,in,in,IN,_,7,case
23332872,29,France,7,France,France,NNP,_,5,nmod
23332872,30,in,8,in,in,IN,_,11,case
23332872,31,the,9,the,the,DT,_,11,det
23332872,32,RECORD-1,10,RECORD-1,record-1,NN,_,11,compound
23332872,33,Trial,11,Trial,trial,NN,_,5,nmod
23332872,34,.,12,.,.,.,_,1,punct
